
# Surface 0 of 1 surfaces

# Curve title: ""Functions-of-two-variables_contourtmp1.dat""
# Contour 0, label:        3
 1.56499 -1.77678  1 
 1.64445 -1.86901  1 
 1.66599 -1.89126  1 
 1.73438 -1.97001  1 
 1.76699 -2.00363  1 
 1.82593 -2.07101  1 
 1.86799 -2.11432  1 
 1.91878 -2.17201  1 
 1.96899 -2.22364  1 
 2.01272 -2.27301  1 
 2.06999 -2.33183  1 
 2.10755 -2.37401  1 
 2.17099 -2.43908  1 
 2.20313 -2.47501  1 
 2.27199 -2.54556  1 
 2.29935 -2.57601  1 
 2.37298 -2.65139  1 
 2.39611 -2.67701  1 
 2.47398 -2.75666  1 
 2.49333 -2.77801  1 
 2.57498 -2.86145  1 
 2.59095 -2.87901  1 
 2.67598 -2.96584  1 
 2.68891 -2.98  1 
 2.77698 -3.06988  1 
 2.78717 -3.081  1 
 2.87798 -3.17361  1 
 2.88569 -3.182  1 
 2.97898 -3.27708  1 
 2.98444 -3.283  1 
 3.07998 -3.38032  1 
 3.08338 -3.384  1 
